id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,satuan,jumlah_wabah_lainya,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,32.01.05,BABAKAN MADANG,orang,0,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,32.01.05,BABAKAN MADANG,orang,0,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,32.01.05,BABAKAN MADANG,orang,0,2022
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,32.01.05,BABAKAN MADANG,orang,0,2023
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,orang,0,2020
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,orang,0,2021
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,orang,43,2022
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,orang,0,2023
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,orang,0,2020
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,orang,0,2021
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,orang,11,2022
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,orang,0,2023
