id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,0,KASUS,2024
2,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2024
3,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,1,KASUS,2024
4,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2024
5,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,1,KASUS,2024
6,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,0,KASUS,2023
7,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2023
8,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,2,KASUS,2023
9,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2023
10,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,0,KASUS,2023
11,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,6,KASUS,2022
12,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,2,KASUS,2022
13,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,80,KASUS,2022
14,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2022
15,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,31,KASUS,2022
16,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,1,KASUS,2021
17,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2021
18,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,0,KASUS,2021
19,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2021
20,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,0,KASUS,2021
21,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,0,KASUS,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2020
23,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,3,KASUS,2020
24,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2020
25,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,3,KASUS,2020
26,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,0,KASUS,2019
27,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2019
28,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,2,KASUS,2019
29,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2019
30,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,3,KASUS,2019
31,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,0,KASUS,2018
32,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAH WUNGKUK,32.74.02,LEMAH WUNGKUK,0,KASUS,2018
33,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,0,KASUS,2018
34,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,0,KASUS,2018
35,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,0,KASUS,2018
